,Pais,Points
0,Alemania,1558.0
1,Brasil,1431.0
2,Bélgica,1298.0
3,Portugal,1274.0
4,Argentina,1241.0
5,Suiza,1199.0
6,Francia,1198.0
7,Polonia,1183.0
8,Chile,1135.0
9,España,1126.0
10,Perú,1125.0
11,Dinamarca,1051.0
12,Inglaterra,1051.0
13,Uruguay,1018.0
14,México,989.0
15,Colombia,986.0
16,Holanda,981.0
17,Gales,953.0
18,Italia,951.0
19,Croacia,945.0
20,Túnez,910.0
21,Islandia,908.0
22,Costa Rica,884.0
23,Suecia,880.0
24,Estados Unidos,873.0
25,Austria,845.0
26,Senegal,838.0
27,Eslovaquia,804.0
28,Irlanda del Norte,803.0
29,Rumanía,782.0
30,República de Irlanda,777.0
31,Paraguay,773.0
32,Venezuela,755.0
33,Serbia,751.0
34,Ucrania,733.0
35,Australia,718.0
36,RI de Irán,708.0
37,Turquía,706.0
38,RD Congo,706.0
39,Bosnia-Herzegovina,693.0
40,Marruecos,686.0
41,Escocia,660.0
42,Montenegro,652.0
43,Grecia,650.0
44,Egipto,649.0
45,República Checa,641.0
46,Ghana,624.0
47,Nigeria,618.0
48,Bulgaria,614.0
49,Camerún,614.0
50,Hungría,612.0
51,Burkina Faso,604.0
52,Noruega,596.0
53,Jamaica,588.0
54,Panamá,571.0
55,Eslovenia,558.0
56,República de Corea,544.0
57,Albania,538.0
58,Bolivia,536.0
59,Ecuador,524.0
60,Japón,521.0
61,Honduras,503.0
62,Finlandia,486.0
63,Malí,484.0
64,Islas de Cabo Verde,478.0
65,Argelia,474.0
66,Arabia Saudí,465.0
67,Costa de Marfil,463.0
68,Guinea,463.0
69,Rusia,457.0
70,ARY de Macedonia,451.0
71,El Salvador,442.0
72,Siria,440.0
73,Sudáfrica,428.0
74,RP China,423.0
75,Zambia,420.0
76,Emiratos Árabes Unidos,418.0
77,Bielorrusia,417.0
78,Líbano,411.0
79,Canadá,411.0
80,Curaçao,408.0
81,Uganda,403.0
82,Congo,393.0
83,Omán,391.0
84,Gabón,390.0
85,Luxemburgo,390.0
86,Chipre,384.0
87,Benín,379.0
88,Irak,377.0
89,Islas Faroe,376.0
90,Trinidad y Tobago,370.0
91,Kirguizistán,363.0
92,Israel,362.0
93,Estonia,359.0
94,Uzbekistán,354.0
95,Georgia,352.0
96,India,350.0
97,Catar,348.0
98,Palestina,347.0
99,Armenia,338.0
100,Libia,336.0
101,Vietnam,334.0
102,Níger,323.0
103,Haití,322.0
104,Azerbaiyán,321.0
105,Madagascar,308.0
106,Mauritania,304.0
107,RDP de Corea,303.0
108,República Centroafricana,303.0
109,Jordania,296.0
110,Sierra Leona,292.0
111,Kenia,291.0
112,Bahréin,289.0
113,Mozambique,282.0
114,Filipinas,280.0
115,Namibia,277.0
116,Kazajistán,273.0
117,Zimbabue,265.0
118,Tayikistán,264.0
119,Nueva Zelanda,256.0
120,Guinea-Bissau,255.0
121,Tailandia,248.0
122,Malaui,247.0
123,China Taipei,247.0
124,Togo,241.0
125,Lituania,239.0
126,Antigua y Barbuda,239.0
127,Sudán,132.0
128,Letonia,230.0
129,Turkmenistán,229.0
130,Andorra,229.0
131,Nicaragua,228.0
132,Yemen,227.0
133,Suazilandia,222.0
134,San Cristóbal y Nieves,218.0
135,Ruanda,216.0
136,Angola,209.0
137,Myanmar,206.0
138,Botsuana,205.0
139,Tanzania,200.0
140,Kosovo,197.0
141,Hong Kong,195.0
142,Guinea Ecuatorial,190.0
143,Islas Salomón,190.0
144,Afganistán,188.0
145,Guatemala,180.0
146,Lesoto,175.0
147,Burundi,174.0
148,Comoras,172.0
149,Maldivas,171.0
150,Etiopía,166.0
151,República Dominicana,162.0
152,Surinam,154.0
153,Nueva Caledonia,150.0
154,Mauricio,140.0
155,Tahití,130.0
156,Liberia,129.0
157,Kuwait,128.0
158,Barbados,127.0
159,Nepal,118.0
160,Vanuatu,117.0
161,Belice,115.0
162,Indonesia,111.0
163,Fiyi,104.0
164,Camboya,103.0
165,Papúa Nueva Guinea,103.0
166,Granada,102.0
167,Singapur,99.0
168,Santa Lucía,95.0
169,Malasia,93.0
170,Gambia,92.0
171,San Vicente y las Granadinas,89.0
172,Puerto Rico,89.0
173,Chad,88.0
174,Moldavia,88.0
175,Dominica,86.0
176,Bermuda,82.0
177,Laos,82.0
178,Liechtenstein,80.0
179,Cuba,75.0
180,Guyana,73.0
181,Bután,68.0
182,Malta,65.0
183,Macao,60.0
184,Mongolia,51.0
185,Santo Tomé y Príncipe,51.0
186,Seychelles,48.0
187,Aruba,48.0
188,Guam,45.0
189,Timor Oriental,45.0
190,Samoa Americana,38.0
191,Islas Cook,38.0
192,Bangladesh,35.0
193,Gibraltar,34.0
194,Brunéi Darussalam,34.0
195,Yibuti,32.0
196,Samoa,32.0
197,Islas Vírgenes de los EE.UU.,18.0
198,Sri Lanka,17.0
199,Pakistán,10.0
200,Islas Caimán,8.0
201,San Marino,8.0
202,Islas Vírgenes Británicas,4.0
203,Montserrat,4.0
204,Islas Turcas y Caicos,0.0
205,Anguilla,0.0
206,Bahamas,0.0
207,Eritrea,0.0
208,Somalia,0.0
209,Tonga,0.0
