Pais,Points
Alemania,1558.0
Brasil,1431.0
Bélgica,1298.0
Portugal,1274.0
Argentina,1241.0
Suiza,1199.0
Francia,1198.0
Polonia,1183.0
Chile,1135.0
España,1126.0
Perú,1125.0
Dinamarca,1051.0
Inglaterra,1051.0
Uruguay,1018.0
México,989.0
Colombia,986.0
Holanda,981.0
Gales,953.0
Italia,951.0
Croacia,945.0
Túnez,910.0
Islandia,908.0
Costa Rica,884.0
Suecia,880.0
Estados Unidos,873.0
Austria,845.0
Senegal,838.0
Eslovaquia,804.0
Irlanda del Norte,803.0
Rumanía,782.0
República de Irlanda,777.0
Paraguay,773.0
Venezuela,755.0
Serbia,751.0
Ucrania,733.0
Australia,718.0
RI de Irán,708.0
Turquía,706.0
RD Congo,706.0
Bosnia-Herzegovina,693.0
Marruecos,686.0
Escocia,660.0
Montenegro,652.0
Grecia,650.0
Egipto,649.0
República Checa,641.0
Ghana,624.0
Nigeria,618.0
Bulgaria,614.0
Camerún,614.0
Hungría,612.0
Burkina Faso,604.0
Noruega,596.0
Jamaica,588.0
Panamá,571.0
Eslovenia,558.0
República de Corea,544.0
Albania,538.0
Bolivia,536.0
Ecuador,524.0
Japón,521.0
Honduras,503.0
Finlandia,486.0
Malí,484.0
Islas de Cabo Verde,478.0
Argelia,474.0
Arabia Saudí,465.0
Costa de Marfil,463.0
Guinea,463.0
Rusia,457.0
ARY de Macedonia,451.0
El Salvador,442.0
Siria,440.0
Sudáfrica,428.0
RP China,423.0
Zambia,420.0
Emiratos Árabes Unidos,418.0
Bielorrusia,417.0
Líbano,411.0
Canadá,411.0
Curaçao,408.0
Uganda,403.0
Congo,393.0
Omán,391.0
Gabón,390.0
Luxemburgo,390.0
Chipre,384.0
Benín,379.0
Irak,377.0
Islas Faroe,376.0
Trinidad y Tobago,370.0
Kirguizistán,363.0
Israel,362.0
Estonia,359.0
Uzbekistán,354.0
Georgia,352.0
India,350.0
Catar,348.0
Palestina,347.0
Armenia,338.0
Libia,336.0
Vietnam,334.0
Níger,323.0
Haití,322.0
Azerbaiyán,321.0
Madagascar,308.0
Mauritania,304.0
RDP de Corea,303.0
República Centroafricana,303.0
Jordania,296.0
Sierra Leona,292.0
Kenia,291.0
Bahréin,289.0
Mozambique,282.0
Filipinas,280.0
Namibia,277.0
Kazajistán,273.0
Zimbabue,265.0
Tayikistán,264.0
Nueva Zelanda,256.0
Guinea-Bissau,255.0
Tailandia,248.0
Malaui,247.0
China Taipei,247.0
Togo,241.0
Lituania,239.0
Antigua y Barbuda,239.0
Sudán,132.0
Letonia,230.0
Turkmenistán,229.0
Andorra,229.0
Nicaragua,228.0
Yemen,227.0
Suazilandia,222.0
San Cristóbal y Nieves,218.0
Ruanda,216.0
Angola,209.0
Myanmar,206.0
Botsuana,205.0
Tanzania,200.0
Kosovo,197.0
Hong Kong,195.0
Guinea Ecuatorial,190.0
Islas Salomón,190.0
Afganistán,188.0
Guatemala,180.0
Lesoto,175.0
Burundi,174.0
Comoras,172.0
Maldivas,171.0
Etiopía,166.0
República Dominicana,162.0
Surinam,154.0
Nueva Caledonia,150.0
Mauricio,140.0
Tahití,130.0
Liberia,129.0
Kuwait,128.0
Barbados,127.0
Nepal,118.0
Vanuatu,117.0
Belice,115.0
Indonesia,111.0
Fiyi,104.0
Camboya,103.0
Papúa Nueva Guinea,103.0
Granada,102.0
Singapur,99.0
Santa Lucía,95.0
Malasia,93.0
Gambia,92.0
San Vicente y las Granadinas,89.0
Puerto Rico,89.0
Chad,88.0
Moldavia,88.0
Dominica,86.0
Bermuda,82.0
Laos,82.0
Liechtenstein,80.0
Cuba,75.0
Guyana,73.0
Bután,68.0
Malta,65.0
Macao,60.0
Mongolia,51.0
Santo Tomé y Príncipe,51.0
Seychelles,48.0
Aruba,48.0
Guam,45.0
Timor Oriental,45.0
Samoa Americana,38.0
Islas Cook,38.0
Bangladesh,35.0
Gibraltar,34.0
Brunéi Darussalam,34.0
Yibuti,32.0
Samoa,32.0
Islas Vírgenes de los EE.UU.,18.0
Sri Lanka,17.0
Pakistán,10.0
Islas Caimán,8.0
San Marino,8.0
Islas Vírgenes Británicas,4.0
Montserrat,4.0
Islas Turcas y Caicos,0.0
Anguilla,0.0
Bahamas,0.0
Eritrea,0.0
Somalia,0.0
Tonga,0.0
